id,name,release_date,album_type,total_tracks
1AHZd3C3S8m8fFrhFxyk79,21st Century Breakdown,2009-05-15,album,18
661Hz0qJK8WIp7vAWsqKvk,Collide With The Sky,2012-07-17,album,12
5zjZVqXPI7J5qtBsZMjlI8,Gold,2008-03-11,compilation,31
01dcOm8Whefyve6zChrq9Q,Selfish Machines,2010-06-21,album,12
01dcOm8Whefyve6zChrq9Q,Selfish Machines,2010-06-21,album,12
0FZK97MXMm5mUQ8mtudjuK,The Black Parade,2006-10-20,album,14
6LkthUHeWKSJsXhjs7SXFq,A Flair For The Dramatic,2007,album,11
2ENlJXygQX6en4iziijet6,Weathered,2001-01-01,album,11
3WEwomTOJHNRGZggBfCeGX,The Black Parade: The B-Sides,2006-10-20,single,5
01dcOm8Whefyve6zChrq9Q,Selfish Machines,2010-06-21,album,12
58TQcPpRD9XcXhUDWF5P27,The Poison,2005,album,13
29mlJg2PpuihKDNYZalIxw,The Black Parade / Living with Ghosts (The 10th Anniversary Edition),2016-09-23,album,25
6lqE05fiHWJVYYdMVJNj38,The Best Damn Thing (Expanded Edition),2007-04-17,album,17
5dN7F9DV0Qg1XRdIgW8rke,American Idiot,2004-09-21,album,9
3CwY3BM1DVO7G78p5rlcai,You Broke Me Too (feat. Avril Lavigne),2025-10-10,single,1
0hFWapnP7orzXCMwNU5DuA,All Hope Is Gone,2008-08-22,album,15
19ObsGobUuBr11M6ysFMug,American Idiot (20th Anniversary Deluxe Edition),2024-10-25,album,57
7gXd4yQ2j6bnA85edia95q,Alone Forever,2023-08-02,single,1
3zXjR3y2dUWklKmmp6lEhy,Let Go,2002-06-04,album,13
3zXjR3y2dUWklKmmp6lEhy,Let Go,2002-06-04,album,13
661Hz0qJK8WIp7vAWsqKvk,Collide With The Sky,2012-07-17,album,12
661Hz0qJK8WIp7vAWsqKvk,Collide With The Sky,2012-07-17,album,12
2B87zXm9bOWvAJdkJBTpzF,Melodrama,2017-06-16,album,11
0rmhjUgoVa17LZuS8xWQ3v,Pure Heroine,2013-09-27,album,10
0rmhjUgoVa17LZuS8xWQ3v,Pure Heroine,2013-09-27,album,10
58TQcPpRD9XcXhUDWF5P27,The Poison,2005,album,13
5dN7F9DV0Qg1XRdIgW8rke,American Idiot,2004-09-21,album,9
661Hz0qJK8WIp7vAWsqKvk,Collide With The Sky,2012-07-17,album,12
6lqE05fiHWJVYYdMVJNj38,The Best Damn Thing (Expanded Edition),2007-04-17,album,17
3WEwomTOJHNRGZggBfCeGX,The Black Parade: The B-Sides,2006-10-20,single,5
29mlJg2PpuihKDNYZalIxw,The Black Parade / Living with Ghosts (The 10th Anniversary Edition),2016-09-23,album,25
2rC9jE6RZDJWKVjFri150t,Red Flag,2024-06-16,single,1
5RqSAt1rbN0shxXTcZkWRs,ĐÔI CHÂN ĐI,2025-06-06,album,17
34kM1CZ2wolcVmmHBiDuRO,WeChoice Awards 2024,2025-01-10,single,6
0lizaedcM1IvcNP5cmxYZX,Đêm Trời Cho,2022-11-25,single,1
33VMJ5jt8YwoCksqBtI3Jy,Mấy Cái Cúc,2025-07-14,single,1
1b4tSAVTE884VvOXWFTKAY,anhtunglenpho: the album,2025-09-16,album,10
51bMHnmO6wJMkSMX5QAlVI,Nhớ Ems,2022-07-07,single,1
4faMbTZifuYsBllYHZsFKJ,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,album,13
4faMbTZifuYsBllYHZsFKJ,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,album,13
1PwBifIxwhShLquKtcoYKS,"RAP VIỆT 2024, Tập 2",2024-09-30,single,6
2gWh8avogQOrmRGSwUYYfg,Lung Linh,2021-09-14,single,1
0FG4TzUg4rEqrtKt1MoWu8,Zai Phố,2023-03-06,single,1
7elvdySQbQhXsQmrXhXP71,SHOW ME THE HAZEL,2024-11-27,album,14
2pX6WzKzFvpjlLxVf10skl,Nội Dung Nhạy Cảm - Part 2,2024-08-16,single,6
4faMbTZifuYsBllYHZsFKJ,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,album,13
3Rd8SJi9SLc2fAK37foqya,OK NAH NAH,2020-09-20,single,1
4XTQ4Gtb7ufWkayCds9iRh,Never Love Again,2024-07-31,album,8
6VFDx1JH29et19PR1hIPVQ,No Boundary,2023-10-03,single,2
231cebYofRSEq4LulMyB4x,Xin Đừng Làm Anh Đau,2025-03-14,single,1
