id,name,genres
7oPftvlwr6VrsViSDV7fJY,Green Day,"['punk', 'pop punk']"
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,[]
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,"['emo', 'pop punk']"
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
43sZBwHjahUvgbx1WNIkIz,Creed,['post-grunge']
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,"['emo', 'pop punk']"
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,"['metalcore', 'metal']"
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,"['emo', 'pop punk']"
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,[]
7oPftvlwr6VrsViSDV7fJY,Green Day,"['punk', 'pop punk']"
3zxKH0qp3nBCuPZCZT5Vaf,Yellowcard,"['pop punk', 'punk', 'emo']"
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,[]
05fG473iIaoy82BF1aGhL8,Slipknot,"['nu metal', 'metal', 'alternative metal', 'rap metal', 'heavy metal']"
7oPftvlwr6VrsViSDV7fJY,Green Day,"['punk', 'pop punk']"
20Mutv4YGHdWGQXZFFjbuD,Joel Cossette,[]
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,[]
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,[]
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
7lbX2TQTHawmdlhNuXDzHs,Lindsey Stamey,[]
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
163tK9Wjr9P9DmM0AVK7lm,Lorde,[]
163tK9Wjr9P9DmM0AVK7lm,Lorde,[]
163tK9Wjr9P9DmM0AVK7lm,Lorde,[]
7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,"['metalcore', 'metal']"
7oPftvlwr6VrsViSDV7fJY,Green Day,"['punk', 'pop punk']"
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']"
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,[]
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,"['emo', 'pop punk']"
