id,name,album,artists,duration_ms,popularity
5TpPSTItCwtZ8Sltr3vdzm,Last Night on Earth,"{'id': '1AHZd3C3S8m8fFrhFxyk79', 'name': '21st Century Breakdown', 'release_date': '2009-05-15', 'album_type': 'album', 'total_tracks': 18}","[{'id': '7oPftvlwr6VrsViSDV7fJY', 'name': 'Green Day', 'genres': ['punk', 'pop punk']}]",236533,76
2SYMnBpx7zyhSDPQwoOlFO,Props & Mayhem,"{'id': '661Hz0qJK8WIp7vAWsqKvk', 'name': 'Collide With The Sky', 'release_date': '2012-07-17', 'album_type': 'album', 'total_tracks': 12}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}]",217853,65
49wOjOkS4pBK3PQnPnNYjb,Zombie,"{'id': '5zjZVqXPI7J5qtBsZMjlI8', 'name': 'Gold', 'release_date': '2008-03-11', 'album_type': 'compilation', 'total_tracks': 31}","[{'id': '7t0rwkOPGlDPEhaOcVtOt9', 'name': 'The Cranberries', 'genres': []}]",307520,69
2G8PweZBBwTpyP8vpNQJK2,Caraphernelia,"{'id': '01dcOm8Whefyve6zChrq9Q', 'name': 'Selfish Machines', 'release_date': '2010-06-21', 'album_type': 'album', 'total_tracks': 12}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}]",268480,71
6bGac1gBHs7kUKihrudMzq,Bulletproof Love,"{'id': '01dcOm8Whefyve6zChrq9Q', 'name': 'Selfish Machines', 'release_date': '2010-06-21', 'album_type': 'album', 'total_tracks': 12}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}]",237400,67
4RAOI1etsgbh5NP3T5R8rN,I Don't Love You,"{'id': '0FZK97MXMm5mUQ8mtudjuK', 'name': 'The Black Parade', 'release_date': '2006-10-20', 'album_type': 'album', 'total_tracks': 14}","[{'id': '7FBcuc1gsnv6Y1nwFtNRCb', 'name': 'My Chemical Romance', 'genres': ['emo', 'pop punk']}]",238680,78
4QCczE24wLpDmPJ3qwwEvC,Wonderless,"{'id': '6LkthUHeWKSJsXhjs7SXFq', 'name': 'A Flair For The Dramatic', 'release_date': '2007', 'album_type': 'album', 'total_tracks': 11}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}]",341053,60
42T2QQv3xgBlpQxaSP7lnK,One Last Breath,"{'id': '2ENlJXygQX6en4iziijet6', 'name': 'Weathered', 'release_date': '2001-01-01', 'album_type': 'album', 'total_tracks': 11}","[{'id': '43sZBwHjahUvgbx1WNIkIz', 'name': 'Creed', 'genres': ['post-grunge']}]",238240,83
6rlnljojqC42vtUeixpFAg,Heaven Help Us,"{'id': '3WEwomTOJHNRGZggBfCeGX', 'name': 'The Black Parade: The B-Sides', 'release_date': '2006-10-20', 'album_type': 'single', 'total_tracks': 5}","[{'id': '7FBcuc1gsnv6Y1nwFtNRCb', 'name': 'My Chemical Romance', 'genres': ['emo', 'pop punk']}]",175946,53
2Z7Q9xBlQvzsJ0AAUyKr7J,Fast Times at Clairemont High,"{'id': '01dcOm8Whefyve6zChrq9Q', 'name': 'Selfish Machines', 'release_date': '2010-06-21', 'album_type': 'album', 'total_tracks': 12}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}]",241666,57
5pKCDm2fw4k6D6C5Rk646C,Tears Don't Fall,"{'id': '58TQcPpRD9XcXhUDWF5P27', 'name': 'The Poison', 'release_date': '2005', 'album_type': 'album', 'total_tracks': 13}","[{'id': '7iWiAD5LLKyiox2grgfmUT', 'name': 'Bullet For My Valentine', 'genres': ['metalcore', 'metal']}]",348386,68
0Jli6hojT6aSBcFg4L2P5f,I Don't Love You,"{'id': '29mlJg2PpuihKDNYZalIxw', 'name': 'The Black Parade / Living with Ghosts (The 10th Anniversary Edition)', 'release_date': '2016-09-23', 'album_type': 'album', 'total_tracks': 25}","[{'id': '7FBcuc1gsnv6Y1nwFtNRCb', 'name': 'My Chemical Romance', 'genres': ['emo', 'pop punk']}]",238680,42
54JKnDB3CzVu8wNAOM27BI,When You're Gone,"{'id': '6lqE05fiHWJVYYdMVJNj38', 'name': 'The Best Damn Thing (Expanded Edition)', 'release_date': '2007-04-17', 'album_type': 'album', 'total_tracks': 17}","[{'id': '0p4nmQO2msCgU4IF37Wi3j', 'name': 'Avril Lavigne', 'genres': []}]",240493,73
