id,name,genres
1yWLf9thhwjqScDt6Az4Z9,Tez,"['v-pop', 'vietnamese hip hop', 'vinahouse']"
5Hv9MhUFvGlYurce5BDRUh,Gill,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
39UJlviUwzZGZrA8DiQy31,Mason Nguyen,"['vietnamese hip hop', 'v-pop']"
3JWIaDWHJq11w1xPqJStEv,Hustlang Robber,"['vietnamese hip hop', 'v-pop']"
5kooMseQPNPTz5y1UCM5UR,Pjpo,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
5Bg8eSfedktL7XuuSS3MCW,S.O,['vietnamese hip hop']
5kooMseQPNPTz5y1UCM5UR,Pjpo,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
55YrB6LSt3ZShzAiBXTEcA,$A Milo,"['vietnamese hip hop', 'v-pop']"
1DsxcBE0S8R9btRREUb43A,Liêm Hiếu,"['vietnam indie', 'vietnamese hip hop', 'v-pop']"
0hUr8xEtATxbq2OTiJFAP0,24k.Right,"['vietnamese hip hop', 'v-pop']"
39UJlviUwzZGZrA8DiQy31,Mason Nguyen,"['vietnamese hip hop', 'v-pop']"
743kOxzIuTrJ5Mr7OBMViF,Nam Cocain,['vietnamese hip hop']
22MX8BG5870DGzpNricY7q,VSOUL,"['vietnamese hip hop', 'v-pop']"
49xfNJ1T52Uv87QiVhRbTf,Hoāng,"['v-pop', 'vietnam indie', 'vietnamese hip hop']"
5q2rlQqfPpVnWnjPfXM4QD,Parys,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
6w4Cn8sKMa6PYhT91LoTTy,Sony Tran,"['vietnamese hip hop', 'v-pop']"
6kFhNMq6O8P5QKdqlGMUVW,Tage,"['vietnamese hip hop', 'v-pop']"
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,"['vietnamese hip hop', 'v-pop']"
3EkXXkwTWhJpPDJR4ME3D8,KayC,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
25JRC8aMGIGBIJ5KiINv3l,RPT Orijinn,"['vietnamese hip hop', 'v-pop']"
0dBcEvEklr1jx4uZuhFX5e,Ronboogz,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
4jQZaxfgwiUJFQagCyZNV4,Ricky Star,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
0JggLWdYe1p6oHZoHpyPSD,Blacka,"['vietnamese hip hop', 'v-pop']"
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"['melodic rap', 'rap']"
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,['rap']
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,['trap soul']
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,[]
1Wnfj5qZsp8nPsGBBRRa4W,Monty,[]
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"['melodic rap', 'emo rap']"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,['rap']
1tG7s7S4sq2eFFW0QZyLbm,Sheff G,"['brooklyn drill', 'new york drill', 'drill']"
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,"['brooklyn drill', 'new york drill']"
7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,[]
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,['rap']
50co4Is1HCEo8bhOyUWKpn,Young Thug,"['rap', 'melodic rap', 'trap']"
50co4Is1HCEo8bhOyUWKpn,Young Thug,"['rap', 'melodic rap', 'trap']"
50co4Is1HCEo8bhOyUWKpn,Young Thug,"['rap', 'melodic rap', 'trap']"
1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,[]
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,['r&b']
6MPCFvOQv5cIGfw3jODMF0,Internet Money,[]
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"['melodic rap', 'rap']"
5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,['melodic rap']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"['melodic rap', 'emo rap']"
5f7VJjfbwm532GiveGC0ZK,Lil Baby,[]
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,['melodic rap']
3TVXtAsR1Inumwj472S9r4,Drake,['rap']
6BH1xcDkwbbyrLMUKECsW1,Toosii,[]
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,[]
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,[]
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"['reggaeton', 'latin']"
6ASri4ePR7RlsvIQgWPJpS,iann dior,['melodic rap']
53SAs7PnPMqFMIY1xVFcFF,Wi$ty,[]
79kMDmsHCG6Ad641rp3xnr,Yaki,[]
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,"['vietnamese hip hop', 'v-pop']"
3EkXXkwTWhJpPDJR4ME3D8,KayC,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,"['vietnamese hip hop', 'v-pop']"
0qAJ604EZMbkbpZ9NN6W6d,WOKEUP,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
2UHHfc0InrWSmUkiuss6f4,RPT JasonDilla,"['vietnamese hip hop', 'v-pop']"
0XtC2d9ZVigYA7iMy5YkW0,2pillz,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
5kooMseQPNPTz5y1UCM5UR,Pjpo,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
5Bg8eSfedktL7XuuSS3MCW,S.O,['vietnamese hip hop']
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,"['vietnamese hip hop', 'v-pop']"
0qAJ604EZMbkbpZ9NN6W6d,WOKEUP,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
0XtC2d9ZVigYA7iMy5YkW0,2pillz,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,"['vietnamese hip hop', 'v-pop']"
0qAJ604EZMbkbpZ9NN6W6d,WOKEUP,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
0XtC2d9ZVigYA7iMy5YkW0,2pillz,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,"['vietnamese hip hop', 'v-pop']"
0qAJ604EZMbkbpZ9NN6W6d,WOKEUP,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
4ZFRJP4p2Ul4kGnKrEn5W2,Hazel,"['vietnamese hip hop', 'drill', 'vietnam indie', 'v-pop']"
0TkVD1db28vwnS8e3QpEeX,NxT,"['vietnamese hip hop', 'v-pop']"
5kooMseQPNPTz5y1UCM5UR,Pjpo,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
55YrB6LSt3ZShzAiBXTEcA,$A Milo,"['vietnamese hip hop', 'v-pop']"
1DsxcBE0S8R9btRREUb43A,Liêm Hiếu,"['vietnam indie', 'vietnamese hip hop', 'v-pop']"
6w4Cn8sKMa6PYhT91LoTTy,Sony Tran,"['vietnamese hip hop', 'v-pop']"
6kFhNMq6O8P5QKdqlGMUVW,Tage,"['vietnamese hip hop', 'v-pop']"
0JggLWdYe1p6oHZoHpyPSD,Blacka,"['vietnamese hip hop', 'v-pop']"
1i9boYyWPAZZLSrDcIov6U,Gxxfy,"['vietnamese hip hop', 'v-pop']"
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
3diftVOq7aEIebXKkC34oR,tlinh,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
6uAa2LaYiWLsy8FlwtKvay,SIXTYUPTOWN,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,"['vietnamese hip hop', 'v-pop']"
0QRUD41ltP8vhaAIxMZb2H,Lu,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
1njilcHXinpoFdb02K4sK2,Rem,[]
6uAa2LaYiWLsy8FlwtKvay,SIXTYUPTOWN,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,"['vietnamese hip hop', 'v-pop']"
0QRUD41ltP8vhaAIxMZb2H,Lu,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
1njilcHXinpoFdb02K4sK2,Rem,[]
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
6xRZoWlE9twEkMC5NW4Z9f,Hoàng Tôn,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']"
3C0xz8C1I3WMdN7FYzar0a,SICK-IES,['v-pop']
1fVgVYrrwzbAvWo8z09Tb5,Uyên Phương,"['vietnamese bolero', 'new wave']"
0UyTscBfKB6ILapfawqhFB,Haukong,"['v-pop', 'vietnamese hip hop']"
27yyGKpmW2nU5uUrMv2a2x,Young Milo,"['vietnamese hip hop', 'melodic rap']"
3oD2yI1g6aT3KawHD8ZYaU,TeuYungBoy,"['vietnamese hip hop', 'v-pop']"
41WKQqzcB7tx9CAwf2D6zI,ZEXZEX,"['melodic rap', 'vietnamese hip hop']"
5Hv9MhUFvGlYurce5BDRUh,Gill,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
3diftVOq7aEIebXKkC34oR,tlinh,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
0wATZebE9ZNj7fTjTdwiJB,Kewtiie,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
0wqus4nTxIoJvLZLwBt8Df,Rapital,"['vietnamese hip hop', 'v-pop']"
1yx4rYyjUYupI7Ji1YvXRh,Groovie Lã Thắng,"['vietnam indie', 'vietnamese hip hop', 'v-pop', 'vietnamese lo-fi']"
3diftVOq7aEIebXKkC34oR,tlinh,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
620SGhgUsNYFnVULyiGCeL,RPT TC,"['vietnamese hip hop', 'v-pop']"
1a5xng2PtKhBg2fiUgqGCb,B E E R U $,['vinahouse']
2cpy7oSJChtKLIGNJQaYV8,Bry,['new wave']
2lnesmkx2eGDj0wTUv61Ch,Rocky CDE,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,"['vietnamese hip hop', 'v-pop']"
3QjJx8Yp2mXYoHtiPI7VMI,VCC Left Hand,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
4jQZaxfgwiUJFQagCyZNV4,Ricky Star,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
0JggLWdYe1p6oHZoHpyPSD,Blacka,"['vietnamese hip hop', 'v-pop']"
