id,name,album,artists,duration_ms,popularity
4MDwdymY1PVqtqNWW90ZKP,Red Flag,"{'id': '2rC9jE6RZDJWKVjFri150t', 'name': 'Red Flag', 'release_date': '2024-06-16', 'album_type': 'single', 'total_tracks': 1}","[{'id': '1yWLf9thhwjqScDt6Az4Z9', 'name': 'Tez', 'genres': ['v-pop', 'vietnamese hip hop', 'vinahouse']}, {'id': '5Hv9MhUFvGlYurce5BDRUh', 'name': 'Gill', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '39UJlviUwzZGZrA8DiQy31', 'name': 'Mason Nguyen', 'genres': ['vietnamese hip hop', 'v-pop']}]",151480,44
1bQnuMT0FVMZ0LaLhVqLLZ,LILYHAMMER,"{'id': '4LadyqDNHqCi9z6FdQqUv8', 'name': 'LILYHAMMER', 'release_date': '2021-11-15', 'album_type': 'single', 'total_tracks': 1}","[{'id': '3JWIaDWHJq11w1xPqJStEv', 'name': 'Hustlang Robber', 'genres': ['vietnamese hip hop', 'v-pop']}]",188571,32
37ImU56QU0sCl7yjskQHnK,500MG,"{'id': '1BAt4rK4e85Hl8WvGi3s7p', 'name': '131KM', 'release_date': '2025-06-28', 'album_type': 'album', 'total_tracks': 23}","[{'id': '5kooMseQPNPTz5y1UCM5UR', 'name': 'Pjpo', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '5Bg8eSfedktL7XuuSS3MCW', 'name': 'S.O', 'genres': ['vietnamese hip hop']}]",155836,23
3hnRCIHz9yoPyfUdKAfkN0,Sần Sùi,"{'id': '1BAt4rK4e85Hl8WvGi3s7p', 'name': '131KM', 'release_date': '2025-06-28', 'album_type': 'album', 'total_tracks': 23}","[{'id': '5kooMseQPNPTz5y1UCM5UR', 'name': 'Pjpo', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '55YrB6LSt3ZShzAiBXTEcA', 'name': '$A Milo', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '1DsxcBE0S8R9btRREUb43A', 'name': 'Liêm Hiếu', 'genres': ['vietnam indie', 'vietnamese hip hop', 'v-pop']}]",167408,26
4QM9lE7i7mlhuQwZGuaUPN,Khóa Chân,"{'id': '2pX6WzKzFvpjlLxVf10skl', 'name': 'Nội Dung Nhạy Cảm - Part 2', 'release_date': '2024-08-16', 'album_type': 'single', 'total_tracks': 6}","[{'id': '0hUr8xEtATxbq2OTiJFAP0', 'name': '24k.Right', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '39UJlviUwzZGZrA8DiQy31', 'name': 'Mason Nguyen', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '743kOxzIuTrJ5Mr7OBMViF', 'name': 'Nam Cocain', 'genres': ['vietnamese hip hop']}]",326600,40
6OyJOHD6LQzQPvMDHlG6Q7,ANGEL,"{'id': '2uIQMcdA5QvwoeuPFJA57w', 'name': 'ANGEL', 'release_date': '2022-05-05', 'album_type': 'single', 'total_tracks': 1}","[{'id': '22MX8BG5870DGzpNricY7q', 'name': 'VSOUL', 'genres': ['vietnamese hip hop', 'v-pop']}]",225444,36
2CX8FuELmOtyMIpVxjr11U,it's you baby,"{'id': '2GovH4N7ZusaIJkaLzvfJ9', 'name': ""it's you baby"", 'release_date': '2023-11-11', 'album_type': 'single', 'total_tracks': 1}","[{'id': '49xfNJ1T52Uv87QiVhRbTf', 'name': 'Hoāng', 'genres': ['v-pop', 'vietnam indie', 'vietnamese hip hop']}, {'id': '5q2rlQqfPpVnWnjPfXM4QD', 'name': 'Parys', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie']}]",155109,35
5jHIDfyRA29jnelfWFtXOy,Cam Giac An,"{'id': '5H8qcUCkZ6DZa22ZoRjYa9', 'name': 'WONDER', 'release_date': '2025-03-14', 'album_type': 'album', 'total_tracks': 16}","[{'id': '6w4Cn8sKMa6PYhT91LoTTy', 'name': 'Sony Tran', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '6kFhNMq6O8P5QKdqlGMUVW', 'name': 'Tage', 'genres': ['vietnamese hip hop', 'v-pop']}]",211618,18
1wG0HYACxdu3Kdz3mI4ca6,Thèn Chóa,"{'id': '1wmnEWgcDdCcOujQpLwYxc', 'name': 'THE WXRDIES', 'release_date': '2024-11-12', 'album_type': 'album', 'total_tracks': 24}","[{'id': '1Jmkhzve9TuXHUUWGmpANw', 'name': 'Wxrdie', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '3EkXXkwTWhJpPDJR4ME3D8', 'name': 'KayC', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}]",244464,49
3ukrFH17Zl6iEZ2QJ1Zwiy,Don't Côi,"{'id': '2gaxwzgOYY6DxVicv6EGkC', 'name': ""Don't Côi"", 'release_date': '2022-11-20', 'album_type': 'single', 'total_tracks': 1}","[{'id': '25JRC8aMGIGBIJ5KiINv3l', 'name': 'RPT Orijinn', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '0dBcEvEklr1jx4uZuhFX5e', 'name': 'Ronboogz', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie']}]",148880,59
6BrkVzB76maKNqcryCmd1c,Khi 22,"{'id': '5RqSAt1rbN0shxXTcZkWRs', 'name': 'ĐÔI CHÂN ĐI', 'release_date': '2025-06-06', 'album_type': 'album', 'total_tracks': 17}","[{'id': '4jQZaxfgwiUJFQagCyZNV4', 'name': 'Ricky Star', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '0JggLWdYe1p6oHZoHpyPSD', 'name': 'Blacka', 'genres': ['vietnamese hip hop', 'v-pop']}]",248785,46
6rjuKpPydT2SxN15TZpV7r,500lbs,"{'id': '4EURMuWFiLLRmQYoH5cgiE', 'name': 'TEC', 'release_date': '2023-09-22', 'album_type': 'album', 'total_tracks': 16}","[{'id': '4Ga1P7PMIsmqEZqhYZQgDo', 'name': 'Lil Tecca', 'genres': ['melodic rap', 'rap']}]",144390,78
6u8hSdYZxbK5EczDPRIXXf,Something New (feat. Ty Dolla $ign),"{'id': '0YFou4SbS16F4GhSADLDfz', 'name': 'Rolling Papers 2', 'release_date': '2018-07-13', 'album_type': 'album', 'total_tracks': 25}","[{'id': '137W8MRPWKqSmrBGDBFSop', 'name': 'Wiz Khalifa', 'genres': ['rap']}, {'id': '7c0XG5cIJTrrAgEC3ULPiq', 'name': 'Ty Dolla $ign', 'genres': ['trap soul']}]",200773,57
1mCA6ZasOlv1MOD16f0VhL,679 (feat. Monty),"{'id': '1wCr7zhB4lMa2vZVhu4ty6', 'name': 'Fetty Wap', 'release_date': '2015-09-25', 'album_type': 'album', 'total_tracks': 21}","[{'id': '6PXS4YHDkKvl1wkIl4V8DL', 'name': 'Fetty Wap', 'genres': []}, {'id': '1Wnfj5qZsp8nPsGBBRRa4W', 'name': 'Monty', 'genres': []}]",187008,49
7yFy1mdIzML1zWUCtN3Gng,All Girls Are The Same,"{'id': '7aObAFaIOcczMSDnfXz5z6', 'name': 'Goodbye & Good Riddance (Anniversary)', 'release_date': '2021-05-28', 'album_type': 'album', 'total_tracks': 18}","[{'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'genres': ['melodic rap', 'emo rap']}]",165819,45
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,"{'id': '7gsWAHLeT0w7es6FofOXk1', 'name': 'The Life Of Pablo', 'release_date': '2016-06-10', 'album_type': 'album', 'total_tracks': 20}","[{'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'genres': ['rap']}]",135920,78
6A4hgJdwriera4WSUl4moW,Weight On Me,"{'id': '6lJqLqRmWGmsw8aLEoSlZ9', 'name': 'One and Only', 'release_date': '2020-05-15', 'album_type': 'album', 'total_tracks': 12}","[{'id': '1tG7s7S4sq2eFFW0QZyLbm', 'name': 'Sheff G', 'genres': ['brooklyn drill', 'new york drill', 'drill']}, {'id': '6EPlBSH2RSiettczlz7ihV', 'name': 'Sleepy Hallow', 'genres': ['brooklyn drill', 'new york drill']}]",157619,66
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),"{'id': '1Sf8GsXG32t0jNrX11xqWx', 'name': 'JACKBOYS', 'release_date': '2019-12-27', 'album_type': 'album', 'total_tracks': 7}","[{'id': '7A8S43ryYdbWpJKeHRZRcq', 'name': 'JACKBOYS', 'genres': []}, {'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'genres': ['rap']}, {'id': '50co4Is1HCEo8bhOyUWKpn', 'name': 'Young Thug', 'genres': ['rap', 'melodic rap', 'trap']}]",157712,75
4cg1yakyRSIOjxKM2I7J1q,Digits,"{'id': '2z4c8M8aVzl7CTobIp36KF', 'name': 'Slime Season 3', 'release_date': '2016-03-25', 'album_type': 'album', 'total_tracks': 8}","[{'id': '50co4Is1HCEo8bhOyUWKpn', 'name': 'Young Thug', 'genres': ['rap', 'melodic rap', 'trap']}]",176386,72
4cg1yakyRSIOjxKM2I7J1q,Digits,"{'id': '2z4c8M8aVzl7CTobIp36KF', 'name': 'Slime Season 3', 'release_date': '2016-03-25', 'album_type': 'album', 'total_tracks': 8}","[{'id': '50co4Is1HCEo8bhOyUWKpn', 'name': 'Young Thug', 'genres': ['rap', 'melodic rap', 'trap']}]",176386,72
6dbSBQXCctYSVryynHXaZ4,Freaky Friday (feat. Chris Brown),"{'id': '4CaoXfwBemXYSLxhS9FyXM', 'name': 'Freaky Friday (feat. Chris Brown)', 'release_date': '2018-03-16', 'album_type': 'single', 'total_tracks': 1}","[{'id': '1tqhsYv8yBBdwANFNzHtcr', 'name': 'Lil Dicky', 'genres': []}, {'id': '7bXgB6jMjp9ATFy66eO08Z', 'name': 'Chris Brown', 'genres': ['r&b']}]",216631,73
4gtZjfZN7FBrF562pv0K4f,JETSKI,"{'id': '0E3nVyJnesYyyr9GQAJqZl', 'name': 'JETSKI', 'release_date': '2021-03-26', 'album_type': 'single', 'total_tracks': 1}","[{'id': '6MPCFvOQv5cIGfw3jODMF0', 'name': 'Internet Money', 'genres': []}, {'id': '4Ga1P7PMIsmqEZqhYZQgDo', 'name': 'Lil Tecca', 'genres': ['melodic rap', 'rap']}, {'id': '5zctI4wO9XSKS8XwcnqEHk', 'name': 'Lil Mosey', 'genres': ['melodic rap']}]",165161,58
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,"{'id': '6tkjU4Umpo79wwkgPMV3nZ', 'name': 'Goodbye & Good Riddance', 'release_date': '2018-12-10', 'album_type': 'album', 'total_tracks': 17}","[{'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'genres': ['melodic rap', 'emo rap']}]",165819,81
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),"{'id': '2yXnY2NiaZk9QiJJittS81', 'name': 'Drip Harder', 'release_date': '2018-10-05', 'album_type': 'album', 'total_tracks': 13}","[{'id': '5f7VJjfbwm532GiveGC0ZK', 'name': 'Lil Baby', 'genres': []}, {'id': '2hlmm7s2ICUX0LVIhVFlZQ', 'name': 'Gunna', 'genres': ['melodic rap']}]",145542,79
6DCZcSspjsKoFjzjrWoCdn,God's Plan,"{'id': '1ATL5GLyefJaxhQzSPVrLX', 'name': 'Scorpion', 'release_date': '2018-06-29', 'album_type': 'album', 'total_tracks': 25}","[{'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'genres': ['rap']}]",198973,84
41rJiBRAhWgecn1XecIk1u,Reminiscing,"{'id': '32Nl5aBViAMfIQgqPLHoCc', 'name': 'Platinum Heart (Deluxe)', 'release_date': '2020-02-06', 'album_type': 'album', 'total_tracks': 20}","[{'id': '6BH1xcDkwbbyrLMUKECsW1', 'name': 'Toosii', 'genres': []}]",208141,50
6FuGJB290AQMAHTfjOYVaK,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","{'id': '4PTxbJPI4jj0Kx8hwr1v0T', 'name': 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'release_date': '2020-11-06', 'album_type': 'single', 'total_tracks': 1}","[{'id': '6fWVd57NKTalqvmjRd2t8Z', 'name': '24kGoldn', 'genres': []}, {'id': '1uNFoZAHBGtllmzznpCI3s', 'name': 'Justin Bieber', 'genres': []}, {'id': '1vyhD5VmyZ7KMfW5gqLgo5', 'name': 'J Balvin', 'genres': ['reggaeton', 'latin']}, {'id': '6ASri4ePR7RlsvIQgWPJpS', 'name': 'iann dior', 'genres': ['melodic rap']}]",192745,60
5MPwGXpwaWqUwBKW732nq6,LIE,"{'id': '7iHlG3Web41ORrdr52oWBn', 'name': 'LIE', 'release_date': '2022-10-07', 'album_type': 'single', 'total_tracks': 1}","[{'id': '53SAs7PnPMqFMIY1xVFcFF', 'name': 'Wi$ty', 'genres': []}, {'id': '79kMDmsHCG6Ad641rp3xnr', 'name': 'Yaki', 'genres': []}]",216986,1
1wG0HYACxdu3Kdz3mI4ca6,Thèn Chóa,"{'id': '1wmnEWgcDdCcOujQpLwYxc', 'name': 'THE WXRDIES', 'release_date': '2024-11-12', 'album_type': 'album', 'total_tracks': 24}","[{'id': '1Jmkhzve9TuXHUUWGmpANw', 'name': 'Wxrdie', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '3EkXXkwTWhJpPDJR4ME3D8', 'name': 'KayC', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}]",244464,49
0BtPtf75Zohf2ngJeizu53,Đừng,"{'id': '7jv2Nt0w8iDUaSuwM7XqTU', 'name': '420ent.', 'release_date': '2023-04-20', 'album_type': 'album', 'total_tracks': 17}","[{'id': '1Jmkhzve9TuXHUUWGmpANw', 'name': 'Wxrdie', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '0qAJ604EZMbkbpZ9NN6W6d', 'name': 'WOKEUP', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '2UHHfc0InrWSmUkiuss6f4', 'name': 'RPT JasonDilla', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '0XtC2d9ZVigYA7iMy5YkW0', 'name': '2pillz', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']}]",243831,37
37ImU56QU0sCl7yjskQHnK,500MG,"{'id': '1BAt4rK4e85Hl8WvGi3s7p', 'name': '131KM', 'release_date': '2025-06-28', 'album_type': 'album', 'total_tracks': 23}","[{'id': '5kooMseQPNPTz5y1UCM5UR', 'name': 'Pjpo', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '5Bg8eSfedktL7XuuSS3MCW', 'name': 'S.O', 'genres': ['vietnamese hip hop']}]",155836,23
5g0NT9ktefpZTgGCLSheYI,Vẫn Đợi,"{'id': '5bqpW6RbJ6ZRVfufnvIeCZ', 'name': 'Vẫn Đợi', 'release_date': '2022-07-16', 'album_type': 'single', 'total_tracks': 1}","[{'id': '1Jmkhzve9TuXHUUWGmpANw', 'name': 'Wxrdie', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '0qAJ604EZMbkbpZ9NN6W6d', 'name': 'WOKEUP', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '0XtC2d9ZVigYA7iMy5YkW0', 'name': '2pillz', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']}]",151011,47
5g0NT9ktefpZTgGCLSheYI,Vẫn Đợi,"{'id': '5bqpW6RbJ6ZRVfufnvIeCZ', 'name': 'Vẫn Đợi', 'release_date': '2022-07-16', 'album_type': 'single', 'total_tracks': 1}","[{'id': '1Jmkhzve9TuXHUUWGmpANw', 'name': 'Wxrdie', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '0qAJ604EZMbkbpZ9NN6W6d', 'name': 'WOKEUP', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '0XtC2d9ZVigYA7iMy5YkW0', 'name': '2pillz', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']}]",151011,47
7ufbV6nXTYcOBR8p7Qk9WG,Nếu Mà 0 Phải Anh,"{'id': '6OoSAzYB4debGe98r4pMaL', 'name': 'Nếu Mà 0 Phải Anh', 'release_date': '2022-03-03', 'album_type': 'single', 'total_tracks': 1}","[{'id': '1Jmkhzve9TuXHUUWGmpANw', 'name': 'Wxrdie', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '0qAJ604EZMbkbpZ9NN6W6d', 'name': 'WOKEUP', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}]",163689,41
